Month-Year,Real GDP Interpolated,UNRATE_Proportion,Log Transformed Receipts
2015-03-01,18222.25443275429,0.054000000000000006,27.640731289451985
2015-04-01,18259.229325182918,0.054000000000000006,28.202008115248155
2015-05-01,18253.156401735632,0.055999999999999994,27.54957777839098
2015-06-01,18247.083478288347,0.053,27.91178064124584
2015-07-01,18247.225508812597,0.052000000000000005,27.549792952824294
2015-08-01,18266.01240125145,0.051,27.51167537295834
2015-09-01,18284.7992936903,0.05,27.957328279747227
2015-10-01,18306.92217714994,0.05,27.491114021424984
2015-11-01,18339.053033671946,0.051,27.498592121833
2015-12-01,18371.183890193955,0.05,27.903959502046764
2016-01-01,18401.97240563154,0.048,27.856666939646033
2016-02-01,18428.733897815844,0.049,27.370495509023005
2016-03-01,18455.495390000153,0.05,27.606676190872363
2016-04-01,18483.274163505142,0.051,28.131292501524392
2016-05-01,18514.10478097219,0.048,27.591955524630983
2016-06-01,18544.935398439236,0.049,27.906265553008897
2016-07-01,18573.565047940487,0.048,27.49597941073139
2016-08-01,18595.591793544358,0.049,27.5867656154186
2016-09-01,18617.618539148225,0.05,27.93183505615411
2016-10-01,18637.56798538701,0.049,27.516645208783036
2016-11-01,18651.285533530547,0.047,27.4661384188345
2016-12-01,18665.003081674084,0.047,27.812555296846373
2017-01-01,18684.39532101746,0.047,27.920021631433347
2017-02-01,18720.811633960362,0.046,27.368085961761913
2017-03-01,18757.227946903266,0.044000000000000004,27.552552894238104
2017-04-01,18804.666091101855,0.044000000000000004,28.154225201242195
2017-05-01,18885.169729067486,0.044000000000000004,27.63859168840989
2017-06-01,18965.67336703312,0.043,27.907173337667523
2017-07-01,19038.199382254417,0.043,27.569253752402407
2017-08-01,19086.792529242713,0.044000000000000004,27.555849991593455
2017-09-01,19135.38567623101,0.043,27.889741748230062
2017-10-01,19180.526239411127,0.042,27.55566777940072
2017-11-01,19215.309051166725,0.042,27.488470031571758
2017-12-01,19250.09186292232,0.040999999999999995,27.798586984878604
2018-01-01,19287.229222961127,0.04,27.93746381967782
2018-02-01,19331.43022784957,0.040999999999999995,27.291019978144753
2018-03-01,19375.631232738015,0.04,27.51249606030148
2018-04-01,19419.477831562726,0.04,28.228432372099505
2018-05-01,19462.261212196267,0.038,27.5309973465177
2018-06-01,19505.0445928298,0.04,27.790521144473054
2018-07-01,19536.365502273093,0.038,27.52552038845699
2018-08-01,19533.298998145656,0.038,27.512871566522946
2018-09-01,19530.232494018222,0.037000000000000005,27.87351376019185
2018-10-01,19544.376409761877,0.038,27.59736386552973
2018-11-01,19610.1515851188,0.038,27.46511271848375
2018-12-01,19675.926760475726,0.039,27.772130819440672
2019-01-01,19730.11089945183,0.04,27.881281953825738
2019-02-01,19749.521929285474,0.038,27.328940967305474
2019-03-01,19768.932959119124,0.038,27.563099698179336
2019-04-01,19804.364967136666,0.037000000000000005,28.254028077970236
2019-05-01,19887.85990970589,0.036000000000000004,27.572189275349196
2019-06-01,19971.354852275115,0.036000000000000004,27.87305749127444
2019-07-01,20041.71318962529,0.037000000000000005,27.595549235633218
2019-08-01,20072.661711318302,0.036000000000000004,27.53478194265394
2019-09-01,20103.610233011317,0.035,27.92017181790521
2019-10-01,20099.865479572152,0.036000000000000004,27.560706049188045
2019-11-01,19992.040900736436,0.036000000000000004,27.51824756367964
2019-12-01,19884.216321900727,0.036000000000000004,27.823878017231454
2020-01-01,19683.65876739309,0.036000000000000004,27.937652206942357
2020-02-01,19204.902285869688,0.035,27.400984541141714
2020-03-01,18726.145804346284,0.044000000000000004,27.58700904628922
2020-04-01,18486.66762014634,0.14800000000000002,27.691592132043418
2020-05-01,18965.024327916748,0.132,27.39449435600783
2020-06-01,19443.38103568716,0.11,27.650799979143024
2020-07-01,19819.506942309254,0.102,28.23204250924207
2020-08-01,19888.940445486398,0.084,27.527058782132897
2020-09-01,19958.373948663542,0.078,27.940194945655644
2020-10-01,20040.083969152918,0.068,27.546613669430517
2020-11-01,20158.623541579007,0.067,27.51718074610191
2020-12-01,20277.16311400509,0.067,27.859286148524795
2021-01-01,20391.62243687967,0.064,27.940726774929857
2021-02-01,20493.84101109975,0.062,27.56944871012753
2021-03-01,20596.059585319825,0.061,27.644240225980283
2021-04-01,20679.512571444815,0.061,28.07063721657085
2021-05-01,20706.668793284516,0.057999999999999996,28.057770629563098
2021-06-01,20733.825015124225,0.059000000000000004,27.967719390291887
